,seller_state,customer_state,frequency,freight_value,leadtime,phy_dist,inv_leadtime,inv_phy_dist
352,SC,AP,4,58.037499999999994,29.96128761574074,3045.9494674876332,0.033376402670846184,0.3283048555709699
353,SC,BA,84,46.184814814814814,18.880570108882026,1901.7385914055135,0.052964502355231736,0.5258346254944178
354,SC,CE,21,70.07428571428571,25.099599785052924,2776.5003356284205,0.03984127271206574,0.36016563267357377
355,SC,DF,80,31.474729729729745,12.305086961961962,1262.2427862702934,0.08126720299427749,0.7922406139906135
356,SC,ES,58,32.57222222222224,14.23384966563786,1184.0168436544857,0.07025506264929257,0.8445825795125389
357,SC,GO,193,35.85487179487177,15.86249597875118,1150.3706362357755,0.06304178115093384,0.8692850534434573
358,SC,MA,28,50.42909090909091,22.220419297138047,2664.948819694006,0.04500365121952484,0.3752417279498905
359,SC,MG,548,28.5936554621849,13.884193505874585,950.007889983869,0.07202434909718644,1.0526228366555777
360,SC,MS,32,32.69624999999999,14.546246365017359,910.6173328714121,0.06874625761907385,1.0981561232166988
361,SC,MT,30,47.233571428571416,21.115138454861118,1587.5825773474955,0.04735938635390669,0.6298884947898471
362,SC,PA,24,59.9442857142857,22.54553951719577,2714.410946841793,0.04435467154100647,0.36840405509103047
363,SC,PB,22,72.474,24.737493026620374,2670.4728155815196,0.040424468191820634,0.37446552317075016
364,SC,PE,40,51.13435897435898,18.929046177587843,2562.3903240711797,0.052828863674283216,0.3902606057344062
365,SC,PI,19,54.932105263157894,21.665401407163742,2518.0448498820665,0.046156541538590945,0.3971335141416704
366,SC,PR,378,21.901843749999987,10.423517359302663,327.5561417625048,0.09593690551179745,3.052911768404733
367,SC,RJ,624,25.85633776091089,15.111227818188233,785.5426587635511,0.0661759594939318,1.2730053407589679
368,SC,RN,14,54.174285714285716,18.488643353174606,2754.5511989586917,0.05408725674987366,0.36303554654494424
369,SC,RO,9,40.95777777777778,16.787590020576133,2331.0907569742753,0.059567811625988294,0.42898372661302414
370,SC,RS,364,22.453715170278645,12.221282785446055,422.97275865975695,0.08182447109323653,2.3642184503054695
371,SC,SC,379,17.19649831649831,7.930950476992145,141.1247994483696,0.1260882920528909,7.0859268102333015
372,SC,SE,19,33.74823529411764,22.320761846405233,2204.2369467918234,0.044801338183761426,0.45367173499902497
373,SC,SP,1759,22.0164102564102,11.44971220697756,512.3421746091265,0.08733843977236308,1.9518205792113739
374,SC,TO,13,39.04666666666666,19.697063078703703,1934.1667832099695,0.05076899007757108,0.517018495344226
375,SE,ES,1,42.91,14.719722222222222,1245.6445007011137,0.0679360646147459,0.8027972663445693
376,SE,GO,1,36.33,13.44412037037037,1550.6014738239403,0.0743819582427951,0.6449110341252925
377,SE,PA,1,26.0,14.376875,1607.970742880992,0.06955614485067164,0.6219018625975158
378,SE,PE,4,39.5,11.202042824074073,402.8523231580598,0.0892694319870766,2.4822992012575495
379,SE,PR,3,21.68,12.80773148148148,1959.8870902597544,0.07807783926809256,0.5102334746576981
380,SE,RJ,1,38.18,8.05957175925926,1567.1311140538692,0.12407607126906556,0.6381087013282448
381,SE,SP,2,26.355,11.019155092592593,1738.5752860599266,0.09075105955013103,0.5751836046549733
382,SP,AC,86,39.292923076923074,19.423257469729354,2643.1757797986056,0.05148466994058408,0.3783327645640708
383,SP,AL,298,34.353394160583925,23.746946573398237,1900.6364879474063,0.0421106771310219,0.5261395360666524
384,SP,AM,124,30.91825688073396,25.688954287716623,2636.636661548032,0.038927236539097194,0.37927106703161606
385,SP,AP,80,32.12393442622952,23.804497172890105,2612.789442651293,0.04200886885940427,0.38273271610637843
386,SP,BA,3032,24.181958123303605,18.944960101532345,1390.6879934746498,0.052784486989714795,0.7190685507404782
387,SP,CE,1255,30.980608044901775,19.919119871245268,2256.673159746042,0.05020302134149885,0.4431301873207622
388,SP,DF,1670,19.977164804469165,12.779497285911932,804.3785265307259,0.07825033940125299,1.2431957927979342
389,SP,ES,1819,20.56324626865657,14.979493096583067,786.7944902988032,0.06675793323260767,1.2709799221143847
390,SP,GO,2189,20.5719211822659,14.930349648216566,744.2505490848665,0.06697766787527647,1.3436335401157635
391,SP,MA,630,38.425073529411755,21.24871225873164,2181.0174119565236,0.04706167544760621,0.4585016123749928
392,SP,MG,10186,20.265206562795374,11.820358589801794,495.15482814969477,0.08459980231587612,2.0195703306313737
393,SP,MS,670,21.771151079136683,15.415003844840802,806.9129457708542,0.06487186186039692,1.2392910601337388
394,SP,MT,910,25.517152406417136,16.8957048201067,1341.804937940207,0.059186640074935015,0.7452648084117883
395,SP,PA,873,31.64001322751324,22.244991131901635,2311.857621261673,0.04495394015086371,0.43255258922660644
396,SP,PB,469,43.09492021276597,19.857742430678705,2168.046523884106,0.05035819169731379,0.46124471453152976
397,SP,PE,1379,30.873816855753635,17.83438264742409,2050.050692476098,0.05607146710763409,0.4877928158899218
398,SP,PI,404,37.82453521126761,18.823456228808034,2012.6895454823095,0.053125206542545954,0.4968476147971274
399,SP,PR,4393,20.5358778840742,12.200171541520787,462.88521736325157,0.08196606060797626,2.160362790793651
400,SP,RJ,11160,20.406592791823982,15.338222809891283,443.4535875554579,0.06519660148339493,2.255027421274252
401,SP,RN,406,37.149917582417594,19.621776757097077,2260.7440683211935,0.05096378439013206,0.4423322453932569
402,SP,RO,229,40.35502645502643,19.58612329144623,2195.197490074577,0.05105655596667902,0.4555398794511318
403,SP,RR,39,42.784571428571425,24.51786598875662,3250.4450024064863,0.04078658397344121,0.30765018305482605
404,SP,RS,4866,20.609317288801762,15.288951672413903,907.4299421499854,0.0654067081528105,1.1020134486974136
405,SP,SC,3310,20.926053223388184,15.234710234075662,565.7353090558573,0.06563958123491498,1.7676110788787023
406,SP,SE,279,38.109703389830514,19.93025430840003,1726.550174281926,0.05017497441457777,0.5791896551259513
407,SP,SP,42841,13.22324405356729,7.470763545972981,151.88698626576843,0.1338551265672218,6.583842530460263
408,SP,TO,262,37.871493212669684,16.939770506012216,1478.0718956815035,0.05903267695657877,0.6765570760946807
