,ID,label,recived,sent,freight_flow
107,porto feliz,porto feliz,27.0,0.0,27.0
108,pirapora do bom jesus,pirapora do bom jesus,13.0,0.0,13.0
109,ibitinga,ibitinga,14.0,4520.0,4534.0
110,guaratingueta,guaratingueta,77.0,1.0,78.0
111,icem,icem,12.0,0.0,12.0
112,cafelandia,cafelandia,6.0,9.0,15.0
113,guaranta,guaranta,3.0,0.0,3.0
114,casa branca,casa branca,10.0,0.0,10.0
115,buritama,buritama,18.0,10.0,28.0
116,taruma,taruma,7.0,6.0,13.0
117,ribeirao bonito,ribeirao bonito,5.0,0.0,5.0
118,igaracu do tiete,igaracu do tiete,4.0,3.0,7.0
119,caraguatatuba,caraguatatuba,98.0,0.0,98.0
120,rincao,rincao,1.0,0.0,1.0
121,americo brasiliense,americo brasiliense,15.0,0.0,15.0
122,irapuru,irapuru,6.0,0.0,6.0
123,itaquaquecetuba,itaquaquecetuba,143.0,979.0,1122.0
124,americo de campos,americo de campos,1.0,0.0,1.0
125,indaiatuba,indaiatuba,376.0,175.0,551.0
126,vinhedo,vinhedo,105.0,0.0,105.0
127,sarutaia,sarutaia,1.0,0.0,1.0
128,suzanapolis,suzanapolis,1.0,0.0,1.0
129,paulinia,paulinia,130.0,19.0,149.0
130,euclides da cunha paulista,euclides da cunha paulista,2.0,0.0,2.0
131,cruzalia,cruzalia,5.0,0.0,5.0
132,dourado,dourado,7.0,0.0,7.0
133,angatuba,angatuba,5.0,0.0,5.0
134,aluminio,aluminio,13.0,0.0,13.0
135,itapecerica da serra,itapecerica da serra,84.0,82.0,166.0
136,alvares florence,alvares florence,4.0,0.0,4.0
137,pinhais,pinhais,0.0,3.0,3.0
138,ouroeste,ouroeste,13.0,0.0,13.0
139,eldorado,eldorado,5.0,0.0,5.0
140,pedra bela,pedra bela,2.0,0.0,2.0
141,sao sebastiao,sao sebastiao,74.0,16.0,90.0
142,parisi,parisi,1.0,0.0,1.0
143,porangaba,porangaba,2.0,0.0,2.0
144,pirangi,pirangi,6.0,0.0,6.0
145,cajati,cajati,11.0,0.0,11.0
146,guatapara,guatapara,1.0,0.0,1.0
147,pauliceia,pauliceia,11.0,0.0,11.0
148,taiuva,taiuva,18.0,0.0,18.0
149,coronel macedo,coronel macedo,2.0,0.0,2.0
150,aguas de santa barbara,aguas de santa barbara,2.0,0.0,2.0
151,jarinu,jarinu,16.0,1.0,17.0
152,jumirim,jumirim,10.0,0.0,10.0
153,dobrada,dobrada,2.0,0.0,2.0
154,aruja,aruja,65.0,14.0,79.0
155,peruibe,peruibe,81.0,0.0,81.0
156,mombuca,mombuca,3.0,10.0,13.0
157,ouro verde,ouro verde,3.0,0.0,3.0
158,cunha,cunha,16.0,0.0,16.0
159,sarapui,sarapui,1.0,0.0,1.0
160,cabreuva,cabreuva,3.0,0.0,3.0
161,cabralia paulista,cabralia paulista,2.0,0.0,2.0
162,guarei,guarei,3.0,0.0,3.0
163,novo horizonte,novo horizonte,19.0,17.0,36.0
164,barra bonita,barra bonita,22.0,0.0,22.0
165,patrocinio paulista,patrocinio paulista,1.0,0.0,1.0
166,guararema,guararema,9.0,0.0,9.0
167,pedranopolis,pedranopolis,1.0,0.0,1.0
168,tupa,tupa,61.0,28.0,89.0
169,valentim gentil,valentim gentil,3.0,0.0,3.0
170,ribeirao pretp,ribeirao pretp,0.0,1.0,1.0
171,birigui,birigui,72.0,98.0,170.0
172,magda,magda,2.0,0.0,2.0
173,manduri,manduri,2.0,0.0,2.0
174,santo andre/sao paulo,santo andre/sao paulo,0.0,9.0,9.0
175,itaporanga,itaporanga,15.0,1.0,16.0
176,serrana,serrana,12.0,10.0,22.0
177,morungaba,morungaba,3.0,0.0,3.0
178,ferraz de vasconcelos,ferraz de vasconcelos,117.0,26.0,143.0
179,tapirai,tapirai,1.0,0.0,1.0
180,sao jose do rio preto,sao jose do rio preto,338.0,1362.0,1700.0
181,scao jose do rio pardo,scao jose do rio pardo,0.0,23.0,23.0
182,meridiano,meridiano,1.0,0.0,1.0
183,itai,itai,8.0,0.0,8.0
184,dumont,dumont,1.0,0.0,1.0
185,buritizal,buritizal,1.0,0.0,1.0
186,iacri,iacri,2.0,0.0,2.0
187,batatais,batatais,24.0,32.0,56.0
188,cacapava,cacapava,71.0,0.0,71.0
189,capela do alto,capela do alto,1.0,0.0,1.0
190,luiziania,luiziania,2.0,0.0,2.0
191,chavantes,chavantes,8.0,0.0,8.0
192,salto grande,salto grande,1.0,0.0,1.0
193,guarulhos,guarulhos,1093.0,1162.0,2255.0
194,nhandeara,nhandeara,5.0,1.0,6.0
195,cordeiropolis,cordeiropolis,9.0,1.0,10.0
196,ocaucu,ocaucu,3.0,0.0,3.0
197,osasco,osasco,759.0,303.0,1062.0
198,embu,embu,19.0,0.0,19.0
199,holambra,holambra,19.0,0.0,19.0
200,varzea paulista,varzea paulista,63.0,29.0,92.0
201,arandu,arandu,3.0,0.0,3.0
202,tabapua,tabapua,10.0,0.0,10.0
