,ID,label,recived,sent,freight_flow
536,charqueada,charqueada,8.0,0.0,8.0
537,embu-guacu,embu-guacu,62.0,0.0,62.0
538,rinopolis,rinopolis,2.0,0.0,2.0
539,lucelia,lucelia,7.0,0.0,7.0
540,ribeirao preto / sao paulo,ribeirao preto / sao paulo,0.0,35.0,35.0
541,ubirajara,ubirajara,1.0,0.0,1.0
542,poa,poa,95.0,88.0,183.0
543,dois corregos,dois corregos,11.0,28.0,39.0
544,luis antonio,luis antonio,12.0,0.0,12.0
545,pilar do sul,pilar do sul,13.0,17.0,30.0
546,populina,populina,3.0,0.0,3.0
547,severinia,severinia,3.0,0.0,3.0
548,agisse,agisse,1.0,0.0,1.0
549,tiete,tiete,49.0,6.0,55.0
550,indiana,indiana,2.0,0.0,2.0
551,herculandia,herculandia,3.0,0.0,3.0
552,sao bernardo do campo,sao bernardo do campo,932.0,615.0,1547.0
553,presidente prudente,presidente prudente,168.0,215.0,383.0
554,aguai,aguai,17.0,0.0,17.0
555,teodoro sampaio,teodoro sampaio,9.0,0.0,9.0
556,panorama,panorama,4.0,0.0,4.0
557,nova odessa,nova odessa,42.0,5.0,47.0
558,itapui,itapui,5.0,1.0,6.0
559,santa barbara d´oeste,santa barbara d´oeste,0.0,173.0,173.0
560,mirassol,mirassol,26.0,19.0,45.0
561,espirito santo do pinhal,espirito santo do pinhal,12.0,0.0,12.0
562,sao sebastiao da grama/sp,sao sebastiao da grama/sp,0.0,1.0,1.0
563,guaruja,guaruja,230.0,22.0,252.0
564,santa albertina,santa albertina,9.0,0.0,9.0
565,lavinia,lavinia,3.0,0.0,3.0
566,braganca paulista,braganca paulista,150.0,50.0,200.0
567,assis,assis,118.0,169.0,287.0
568,tambau,tambau,22.0,0.0,22.0
569,caieiras,caieiras,75.0,0.0,75.0
570,jaguariuna,jaguariuna,127.0,43.0,170.0
571,presidente bernardes,presidente bernardes,4.0,0.0,4.0
572,colina,colina,6.0,0.0,6.0
573,presidente alves,presidente alves,2.0,0.0,2.0
574,monte alegre do sul,monte alegre do sul,7.0,3.0,10.0
575,tocantins,tocantins,0.0,1.0,1.0
576,itatiba,itatiba,78.0,189.0,267.0
577,santa mercedes,santa mercedes,1.0,0.0,1.0
578,apiai,apiai,7.0,0.0,7.0
579,sud mennucci,sud mennucci,5.0,0.0,5.0
580,matao,matao,42.0,0.0,42.0
581,itaju,itaju,7.0,0.0,7.0
582,embu guacu,embu guacu,0.0,13.0,13.0
583,cerquilho,cerquilho,35.0,0.0,35.0
584,brodowski,brodowski,18.0,0.0,18.0
585,pereira barreto,pereira barreto,12.0,0.0,12.0
586,jambeiro,jambeiro,7.0,4.0,11.0
587,palmital,palmital,13.0,0.0,13.0
588,volta redonda,volta redonda,0.0,44.0,44.0
589,santa rita do passa quatro,santa rita do passa quatro,24.0,0.0,24.0
590,fernandopolis,fernandopolis,48.0,116.0,164.0
591,planalto,planalto,1.0,0.0,1.0
592,cajobi,cajobi,7.0,0.0,7.0
593,piquerobi,piquerobi,1.0,0.0,1.0
594,serra azul,serra azul,1.0,0.0,1.0
595,pardinho,pardinho,1.0,0.0,1.0
596,arealva,arealva,5.0,0.0,5.0
597,pacaembu,pacaembu,6.0,0.0,6.0
598,leme,leme,40.0,5.0,45.0
599,parapua,parapua,8.0,0.0,8.0
600,capao bonito,capao bonito,34.0,0.0,34.0
601,paranapanema,paranapanema,12.0,0.0,12.0
602,taubate,taubate,268.0,38.0,306.0
603,nova luzitania,nova luzitania,1.0,0.0,1.0
604,riolandia,riolandia,3.0,0.0,3.0
605,itupeva,itupeva,53.0,0.0,53.0
606,flora rica,flora rica,1.0,0.0,1.0
607,sao pedro do turvo,sao pedro do turvo,1.0,0.0,1.0
608,artur nogueira,artur nogueira,41.0,8.0,49.0
609,tuiuti,tuiuti,1.0,0.0,1.0
610,tanabi,tanabi,11.0,6.0,17.0
611,nova europa,nova europa,2.0,0.0,2.0
612,oscar bressane,oscar bressane,3.0,0.0,3.0
613,lindoia,lindoia,9.0,0.0,9.0
614,nantes,nantes,1.0,0.0,1.0
615,aracoiaba da serra,aracoiaba da serra,11.0,0.0,11.0
616,rubiacea,rubiacea,1.0,0.0,1.0
617,campinas,campinas,1470.0,692.0,2162.0
618,monte aprazivel,monte aprazivel,11.0,0.0,11.0
619,ibiuna,ibiuna,31.0,0.0,31.0
620,itariri,itariri,7.0,0.0,7.0
621,piedade,piedade,20.0,0.0,20.0
622,guapiara,guapiara,3.0,0.0,3.0
623,atibaia,atibaia,151.0,356.0,507.0
624,marinopolis,marinopolis,2.0,0.0,2.0
625,guariba,guariba,11.0,470.0,481.0
626,santa rita d'oeste,santa rita d'oeste,2.0,0.0,2.0
627,ferraz de  vasconcelos,ferraz de  vasconcelos,0.0,2.0,2.0
628,castilho,castilho,9.0,0.0,9.0
629,botucatu,botucatu,88.0,77.0,165.0
630,votorantim,votorantim,93.0,207.0,300.0
631,emilianopolis,emilianopolis,2.0,0.0,2.0
632,tabao da serra,tabao da serra,0.0,2.0,2.0
633,itirapina,itirapina,1.0,4.0,5.0
