,seller_zip_code_prefix_3_digits,customer_zip_code_prefix_3_digits,frequency,freight_value,delay,phy_dist,efficiency
367,027,056,1,9.85,4.245393518518519,11.462261635962246,0.3703800919356804
368,028,010,1,7.72,3.3449305555555555,12.732297372716184,0.262712255112997
369,028,012,2,8.035,3.555011574074074,7.519266109921196,0.47245304413455136
370,028,013,1,7.54,2.1405555555555558,10.514544019955355,0.20358044547562268
371,028,015,1,7.39,6.265798611111111,12.510347926076872,0.5008492687921596
372,028,020,1,7.78,5.1627777777777775,8.62034426595899,0.5989062174889175
373,028,026,2,8.72,5.717158564814815,3.0352002730632233,1.8836182295953972
374,028,031,1,14.35,6.273958333333334,16.92832123828334,0.3706190498762984
375,028,032,6,8.29,4.148912037037037,18.66767793999199,0.2222511043084139
376,028,033,1,7.61,3.2130324074074075,17.383020174729175,0.18483740886859243
377,028,037,3,7.39,2.1684375,18.233654085007995,0.11892501030733738
378,028,038,1,8.72,5.918738425925926,20.818126883234104,0.2843069628273131
379,028,041,2,8.475,3.488090277777778,13.922304704280524,0.24520142950921214
380,028,045,1,8.29,2.022488425925926,13.192940552242792,0.15330080643637134
381,028,046,1,8.29,4.378668981481481,17.36941163685212,0.2520908061267545
382,028,047,1,7.78,1.698888888888889,18.84117688517126,0.09016893685797199
383,028,054,1,7.78,3.903159722222222,7.569743929920949,0.5156263882050476
384,029,011,2,9.76,3.4418865740740743,7.871886491681752,0.43723783081871503
385,029,012,2,10.305,5.816863425925925,7.887521686730179,0.7614194459160835
386,029,013,4,8.436666666666667,4.75471836419753,13.182940193142352,0.3651757267252073
387,029,014,2,8.33,2.5579282407407407,11.577384365011884,0.221293724834133
388,029,015,1,8.29,6.698356481481482,12.670784508670993,0.5286457580347609
389,029,021,5,8.7025,3.2119733796296295,14.866764016500117,0.2311584455391728
390,029,024,2,9.11,8.373634259259259,8.141048325534685,1.0094621484585378
391,029,025,3,8.883333333333335,9.647912808641975,6.39598765417663,1.8527588176661087
392,029,026,3,12.84,1.9399421296296295,7.35602453400007,0.2637215415287264
393,029,027,1,9.34,5.852418981481481,3.4629321337843657,1.6900183877082897
394,029,028,4,10.376666666666665,7.6854050925925925,4.001276846573076,1.859863151792412
395,029,031,1,7.57,3.13875,17.287977828971606,0.1815568038697972
396,029,032,2,15.59,5.987465277777778,18.430907981117958,0.32486002772689215
397,029,033,1,9.09,4.74943287037037,17.818087365439762,0.26655121691582023
398,029,034,1,8.72,3.672337962962963,19.395417447541462,0.1893404961710924
399,029,035,2,9.34,11.58224537037037,21.892421963442203,0.5136359670627335
400,029,036,1,9.34,4.59337962962963,22.18294191741533,0.2070680997466558
401,029,037,1,7.39,3.11125,18.029704476708623,0.17256245126031972
402,029,039,1,7.46,5.791400462962963,23.933162583246663,0.24198224713590394
403,029,040,1,7.39,1.9185069444444445,11.495837705739087,0.16688709370754817
404,029,041,3,9.34,6.925868055555555,16.778670088275323,0.38965544633732496
405,029,042,2,9.34,15.827280092592591,16.65360402416994,0.9915093166321198
406,029,043,2,8.76,3.7603935185185184,20.47975802841573,0.18268125709529398
407,029,045,7,9.320000000000002,4.911965939153439,13.595841224457201,0.37474291150815997
408,029,046,6,8.483333333333333,8.896477623456791,19.53026843480298,0.4748818081743371
409,029,047,6,9.34,1.7324074074074074,16.8031262346782,0.10310030307527385
410,029,048,8,11.365714285714287,7.14922123015873,29.08141882923706,0.24441634072513516
411,029,049,1,8.72,9.278657407407408,24.102580880904554,0.38496530530298906
412,029,050,3,11.916666666666666,4.048194444444444,6.535169658680336,0.6125844561268304
413,029,052,1,7.39,3.7422685185185185,10.29027399387327,0.36367044461076825
414,029,053,2,9.030000000000001,7.991030092592593,10.294183395739054,0.7821331885496056
415,029,054,1,3.31,4.828576388888889,8.570909496376872,0.5633680289040555
416,029,055,4,8.436666666666667,7.607361111111111,11.699776703466641,0.6967316657311163
417,029,057,2,8.195,12.350538194444445,19.212231224496612,0.6430470440289447
418,029,058,2,12.87,3.632789351851852,20.812072736298795,0.17551299595964875
