id,label,sent,recived
TO,TO,0,354
MA,MA,418,920
GO,GO,592,3019
ES,ES,429,2524
CE,CE,94,1619
RO,RO,15,307
PA,PA,8,1198
SP,SP,93934,55654
BA,BA,743,4233
DF,DF,948,2552
PB,PB,38,687
MT,MT,154,1254
AM,AM,3,191
PR,PR,10043,6795
RN,RN,61,574
RS,RS,2464,7271
PI,PI,11,581
AC,AC,0,111
MG,MG,9723,15118
SE,SE,13,427
AP,AP,0,102
RR,RR,0,49
AL,AL,0,468
RJ,RJ,5410,16584
SC,SC,4763,4935
MS,MS,52,973
PE,PE,515,1931
